account, age, zipcode, balance
0, 297409418, 86064451, 15000
40, 251214410, 102464244, 9100
118, 241418906, 181265087, 14900
179, 217333262, 208241678, 15400
202, 597795176, 288050272, 10000
205, 275609690, 437630060, 15200
219, 768215426, 160167860, 14800
310, 66653012, 364478123, 14700
390, 328007385, 182354068, 9100
413, 5046788, 208241678, 13400
422, 817562795, 473643769, 14900
444, 38954012, 115637132, 11300
445, 169402777, 432819713, 13400
478, 894277047, 491884732, 11800
494, 110893150, 295854803, 11800
569, 735016778, 427783976, 8700
647, 186628070, 93232398, 12000
709, 23328404, 509410896, 8600
801, 479606588, 793522698, 10400
873, 735016778, 78650299, 9200
874, 23328404, 150034044, 12900
908, 6989740, 402944483, 7800
970, 241418906, 11043234, 9100
1059, 155983572, 37836196, 9900
1154, 355247510, 688708154, 14600
1182, 110722800, 13710857, 9600
1198, 213273716, 729976980, 10600
1285, 83089910, 558464526, 6300
1329, 63495992, 11043234, 7700
1336, 113976440, 93232398, 8900
1401, 195935030, 181265087, 9600
1416, 152464708, 687680110, 14700
1474, 210536741, 208451140, 15000
1559, 38142635, 64604282, 6100
1607, 222247330, 360766718, 14300
1674, 38954012, 604650308, 8200
1772, 155322612, 91993556, 10600
1787, 75999995, 288050272, 15300
1835, 275609690, 687680110, 11500
1842, 41785292, 36874289, 10800
1913, 152464708, 295854803, 13900
1939, 113976440, 584116162, 9100
2039, 169402777, 181265087, 7100
2080, 768215426, 120500638, 15300
2117, 464343522, 45983230, 10800
2132, 38954012, 218608664, 9200
2143, 731858420, 352696412, 7400
2216, 152464708, 123532940, 11200
2235, 19173548, 45983230, 12000
2241, 222872579, 152179833, 11600
2305, 430278836, 663356576, 14200
2373, 399403871, 255094400, 6100
2392, 894277047, 268379960, 13900
2449, 52241127, 924872738, 14000
2452, 117065410, 253385156, 12400
2536, 441322472, 45983230, 10000
2633, 155322612, 402944483, 13500
2642, 155983572, 89979878, 7800
2683, 479606588, 103862500, 14400
2715, 873651155, 182354068, 14000
2726, 597795176, 687680110, 9200
2749, 2298437, 102464244, 8300
2828, 426723551, 218608664, 8400
2868, 110722800, 470827041, 6900
2877, 169402777, 470827041, 12300
2921, 172783130, 208241678, 7100
2931, 873651155, 432819713, 9300
2945, 399403871, 168065518, 10700
2970, 3980651, 218608664, 15300
3026, 2298437, 360766718, 8800
3101, 169402777, 242921038, 7200
3170, 667325203, 123826079, 8900
3178, 297409418, 264659345, 15500
3196, 241418906, 74813564, 10200
3259, 64433060, 364005668, 11000
3348, 210536741, 255094400, 13100
3366, 480128475, 74813564, 14300
3423, 464343522, 2490232, 10200
3463, 213273716, 323523875, 7100
3523, 169402777, 470827041, 15400
3580, 441322472, 268379960, 13700
3643, 14433320, 2459064, 12700
3648, 110893150, 10997853, 7300
3741, 222316205, 558464526, 15900
3766, 213273716, 255094400, 11900
3823, 155322612, 103862500, 12700
3888, 376793828, 208241678, 6500
3951, 110893150, 103862500, 10200
3979, 328007385, 218608664, 10400
4023, 155983572, 311363530, 15300
4038, 83089910, 91993556, 13600
4065, 873651155, 109882842, 8600
4091, 361701186, 118991830, 6300
4107, 64433060, 208241678, 10600
4125, 359801605, 74813564, 6600
4218, 64433060, 115637132, 12300
4259, 63495992, 364005668, 12400
4306, 480128475, 40174284, 7000
4391, 210536741, 558464526, 14100
4405, 768215426, 208451140, 9400
4483, 2298437, 108089232, 6000
4538, 441322472, 323523875, 7100
4621, 275609690, 64604282, 9000
4640, 52241127, 115637132, 12000
4733, 23607760, 402944483, 6500
4760, 210536741, 181265087, 11300
4848, 2351324, 402944483, 13800
4890, 38708115, 37836196, 7800
4974, 152464708, 78650299, 13100
5062, 41785292, 558464526, 9800
