account, age, zipcode, balance
0, 88, 106, 15100
2, 38, 105, 8000
7, 67, 103, 12100
16, 56, 109, 8500
24, 32, 100, 12000
26, 73, 109, 12600
28, 62, 103, 8300
30, 83, 109, 11800
31, 97, 107, 9500
39, 35, 100, 7100
48, 64, 107, 8100
55, 57, 103, 7800
62, 37, 106, 8400
66, 28, 108, 9200
70, 49, 104, 6900
73, 51, 105, 6500
79, 85, 102, 7000
87, 93, 105, 8300
96, 26, 108, 11200
105, 58, 108, 6700
112, 74, 101, 8500
116, 31, 104, 13200
122, 101, 101, 6200
124, 54, 108, 11000
125, 61, 102, 12500
129, 44, 105, 10400
130, 58, 103, 11300
139, 65, 107, 13500
147, 39, 104, 6500
150, 91, 104, 11700
158, 51, 109, 6900
163, 52, 102, 13800
171, 65, 103, 12900
172, 87, 107, 12300
181, 73, 107, 9900
189, 23, 102, 13000
194, 52, 100, 11400
200, 88, 102, 11900
203, 35, 105, 14600
210, 100, 109, 6600
219, 57, 106, 12800
225, 23, 107, 12600
232, 45, 108, 10400
236, 36, 104, 10300
239, 57, 109, 10600
244, 94, 102, 13800
250, 45, 104, 13200
257, 79, 102, 10800
263, 29, 100, 12000
264, 53, 102, 9800
268, 78, 107, 13900
274, 63, 108, 6800
284, 61, 102, 9500
294, 84, 100, 14600
298, 57, 109, 8500
301, 77, 104, 7800
304, 68, 106, 15200
311, 71, 100, 9200
316, 86, 100, 6800
325, 98, 107, 14000
326, 58, 105, 12000
334, 84, 103, 7500
339, 95, 103, 7200
341, 54, 103, 12200
346, 39, 103, 8400
349, 101, 109, 15900
358, 27, 109, 7100
365, 51, 108, 6400
366, 86, 101, 13200
368, 84, 105, 12500
371, 54, 100, 8100
380, 66, 100, 15400
383, 62, 108, 9500
388, 73, 108, 7800
394, 55, 103, 7200
403, 43, 106, 15000
407, 90, 104, 10100
414, 93, 100, 9600
421, 39, 107, 11200
425, 88, 103, 8400
431, 81, 100, 7900
437, 25, 102, 13500
441, 64, 105, 8300
444, 98, 108, 11100
448, 30, 103, 7800
449, 71, 104, 8400
451, 90, 104, 8600
453, 33, 100, 12200
461, 56, 101, 14300
470, 62, 105, 14100
478, 31, 105, 12900
488, 47, 108, 15500
490, 89, 103, 6300
494, 57, 104, 12100
497, 55, 105, 6500
503, 37, 108, 14300
511, 58, 100, 14700
515, 32, 109, 7500
518, 43, 107, 11600
525, 76, 109, 9100
530, 69, 106, 10400
534, 45, 107, 6800
542, 69, 105, 13400
546, 28, 104, 12300
550, 65, 109, 9500
557, 55, 103, 11900
561, 78, 104, 10100
564, 95, 106, 9300
568, 24, 109, 10100
570, 41, 106, 8700
573, 94, 101, 9000
581, 78, 100, 13400
584, 83, 104, 11100
589, 59, 103, 14800
594, 78, 108, 15700
596, 97, 100, 6600
604, 27, 104, 9900
606, 70, 106, 7200
616, 40, 109, 7900
617, 66, 103, 14800
623, 41, 102, 10000
626, 51, 106, 13800
636, 36, 102, 13800
642, 90, 100, 15100
643, 70, 100, 6000
653, 92, 101, 11300
660, 28, 105, 13100
668, 98, 101, 7300
673, 42, 100, 14800
681, 73, 107, 6500
686, 56, 101, 11400
695, 34, 109, 15100
698, 48, 103, 9700
706, 99, 101, 7200
712, 66, 104, 8800
714, 100, 104, 10900
721, 48, 106, 12400
722, 51, 107, 7000
730, 66, 108, 7100
735, 64, 104, 6900
738, 67, 108, 10200
745, 82, 101, 13600
746, 81, 108, 8000
750, 49, 105, 12800
760, 33, 108, 8100
768, 26, 105, 12700
773, 25, 100, 14300
775, 78, 104, 10700
781, 69, 106, 12000
786, 34, 109, 9600
790, 51, 100, 11300
798, 64, 101, 13000
799, 54, 107, 11700
802, 37, 100, 7300
809, 23, 102, 11200
812, 98, 109, 6800
814, 31, 106, 14100
820, 59, 106, 7400
827, 46, 103, 11300
837, 91, 103, 8400
844, 55, 109, 11800
853, 30, 105, 14800
858, 66, 103, 14800
859, 101, 108, 11600
865, 25, 103, 13900
871, 69, 109, 15700
874, 43, 106, 15500
879, 40, 100, 12000
881, 92, 101, 14600
888, 27, 100, 12100
894, 35, 107, 6200
897, 31, 105, 11800
902, 58, 106, 13600
908, 56, 105, 9700
913, 66, 108, 12700
917, 97, 102, 14000
920, 29, 108, 8300
923, 85, 104, 9400
931, 98, 109, 8600
932, 55, 108, 7200
939, 28, 108, 7400
944, 76, 103, 11400
946, 27, 100, 10100
947, 92, 107, 10600
952, 33, 107, 15900
956, 84, 106, 6900
962, 86, 100, 10000
967, 71, 104, 10900
974, 37, 103, 13600
984, 88, 108, 9200
994, 93, 107, 12900
995, 33, 100, 14800
1005, 49, 109, 12000
1008, 96, 105, 8000
1016, 89, 103, 6400
1018, 53, 102, 15800
1022, 94, 106, 6200
1025, 53, 105, 7900
1033, 50, 109, 8300
1042, 90, 107, 12800
1044, 85, 109, 12500
