account, age, zipcode, balance
0, 100, 107, 11300
3, 70, 105, 14900
6, 38, 102, 12900
12, 36, 106, 13900
14, 31, 106, 14200
23, 99, 108, 11200
31, 51, 102, 9500
39, 72, 101, 7700
42, 40, 108, 14000
44, 74, 107, 6200
49, 25, 107, 9200
53, 55, 108, 7300
61, 84, 105, 8200
64, 79, 103, 15900
70, 28, 104, 10400
80, 23, 106, 9300
81, 40, 106, 7100
83, 24, 109, 9600
85, 82, 103, 13700
95, 29, 103, 11400
103, 26, 101, 11300
108, 25, 103, 9500
113, 64, 106, 9900
120, 78, 106, 9200
124, 93, 100, 10500
129, 55, 101, 10300
133, 27, 108, 14800
139, 47, 106, 12500
144, 40, 103, 13300
151, 24, 102, 12300
152, 55, 105, 7200
161, 37, 106, 11000
168, 47, 104, 13200
173, 32, 107, 13900
174, 26, 106, 9600
179, 85, 106, 7600
186, 71, 109, 15200
191, 100, 105, 11600
195, 88, 100, 13800
198, 51, 102, 11500
207, 101, 100, 12200
210, 26, 100, 12800
214, 55, 106, 7500
220, 70, 101, 10500
226, 62, 106, 7100
228, 71, 101, 11900
231, 44, 106, 9800
238, 81, 107, 14600
246, 71, 109, 13600
251, 78, 109, 9700
259, 75, 105, 9100
266, 90, 100, 15300
270, 86, 104, 7800
278, 54, 102, 14100
280, 42, 105, 14000
282, 23, 107, 8100
284, 46, 102, 12200
292, 52, 107, 14800
299, 46, 106, 14500
304, 59, 102, 6400
305, 22, 100, 14500
314, 60, 105, 6900
324, 43, 109, 10400
325, 76, 104, 6600
329, 50, 109, 11100
336, 83, 102, 11100
338, 87, 103, 15200
344, 62, 103, 15300
349, 23, 101, 13100
354, 95, 104, 12200
363, 86, 108, 15000
369, 24, 101, 15000
376, 90, 101, 15700
380, 84, 107, 15900
385, 94, 103, 15000
387, 94, 100, 13800
389, 65, 101, 8100
393, 71, 102, 11900
403, 68, 104, 12600
408, 84, 106, 8500
413, 47, 107, 6600
416, 78, 106, 13200
418, 29, 108, 13000
419, 65, 102, 7300
428, 59, 109, 13100
432, 29, 100, 12100
437, 29, 107, 9500
439, 72, 103, 12600
444, 89, 103, 9500
454, 58, 104, 7300
463, 73, 100, 9900
470, 79, 105, 14700
474, 62, 108, 9700
483, 57, 106, 12400
485, 88, 107, 11400
494, 91, 108, 6700
499, 79, 102, 9200
502, 63, 102, 13200
506, 77, 107, 15400
511, 65, 108, 12000
512, 49, 104, 15100
513, 82, 105, 6000
517, 77, 102, 15500
518, 70, 104, 13400
519, 57, 109, 12000
520, 54, 104, 15500
528, 63, 108, 7900
529, 30, 105, 12300
539, 29, 109, 15300
546, 32, 103, 12900
555, 86, 102, 14200
561, 96, 108, 9200
570, 96, 102, 10100
576, 70, 103, 6300
577, 71, 101, 14100
587, 32, 105, 9000
596, 41, 109, 11400
