account, age, zipcode, balance
0, 46, 106, 6200
4, 75, 106, 9500
6, 41, 104, 15900
13, 87, 108, 14200
22, 57, 109, 9600
31, 57, 105, 10500
34, 93, 100, 6400
43, 88, 107, 13100
48, 50, 107, 9800
54, 44, 106, 13000
63, 31, 107, 15200
70, 69, 103, 9400
77, 27, 105, 11700
81, 100, 104, 9700
88, 65, 106, 6000
95, 64, 102, 8100
104, 51, 100, 9200
110, 51, 103, 8100
115, 100, 102, 13400
125, 58, 102, 9200
131, 92, 108, 8600
138, 57, 102, 9600
148, 40, 100, 7400
153, 36, 108, 11700
158, 88, 100, 14400
168, 87, 106, 10300
172, 95, 103, 11200
178, 31, 105, 14800
183, 70, 105, 6800
193, 62, 109, 15500
197, 26, 104, 9500
205, 75, 109, 9400
206, 57, 109, 6300
216, 64, 102, 11300
223, 73, 109, 13100
233, 43, 102, 6000
238, 97, 102, 7800
248, 45, 107, 15300
257, 77, 102, 9400
259, 30, 108, 12400
267, 47, 101, 12900
271, 55, 105, 15000
280, 40, 106, 7900
285, 86, 105, 8700
292, 51, 103, 6600
301, 45, 103, 12400
308, 59, 106, 10800
315, 36, 109, 14500
317, 96, 102, 12900
321, 83, 106, 7900
328, 71, 105, 8300
336, 88, 104, 14300
342, 54, 109, 15600
344, 39, 109, 15700
352, 60, 102, 8800
357, 37, 108, 8200
358, 38, 102, 12800
364, 76, 101, 15100
365, 43, 100, 11200
366, 42, 109, 6800
373, 82, 101, 8100
376, 50, 107, 10600
380, 22, 101, 8800
387, 57, 106, 12200
395, 41, 106, 9300
401, 26, 104, 11100
404, 30, 100, 14100
412, 83, 102, 6000
422, 29, 107, 11700
428, 38, 105, 7500
437, 51, 108, 13600
443, 25, 101, 7100
452, 64, 108, 6900
454, 54, 105, 13100
460, 87, 105, 15500
469, 44, 103, 6800
476, 49, 102, 7500
484, 28, 103, 12800
488, 42, 107, 10500
494, 60, 102, 12900
495, 35, 109, 7600
498, 39, 100, 6600
500, 62, 108, 14100
502, 27, 103, 7500
509, 101, 104, 14400
514, 42, 103, 15100
516, 36, 109, 10300
525, 58, 105, 15300
535, 42, 106, 10100
541, 38, 103, 10100
544, 28, 107, 13200
545, 42, 100, 14600
549, 98, 103, 11900
550, 58, 101, 15900
556, 88, 106, 14900
565, 60, 101, 15500
569, 30, 107, 11200
579, 41, 104, 14300
581, 88, 105, 10000
585, 97, 107, 10800
591, 31, 101, 13700
594, 68, 101, 15400
604, 30, 108, 6800
613, 41, 100, 7400
615, 22, 100, 11500
618, 27, 109, 8900
