account, age, zipcode, balance
0, 106700960, 406224502, 11500
18, 31169297, 152365562, 8800
102, 71311658, 575883860, 11900
153, 28586564, 28088640, 11900
184, 47764801, 22621810, 6500
276, 13960128, 176258003, 11900
369, 138719810, 458260290, 9200
419, 181841020, 7319288, 10900
488, 543174860, 687996212, 14700
510, 383811602, 408338036, 11000
610, 31169297, 52211740, 13300
633, 457951623, 152365562, 12800
700, 615331547, 28088640, 15900
769, 688661092, 151678420, 14700
785, 15077848, 341869004, 11300
820, 31169297, 437785354, 7700
822, 389094314, 170844957, 11700
891, 160965301, 46874643, 10300
959, 147102252, 942834113, 10800
1030, 208778744, 458260290, 15800
1123, 4088208, 52720188, 12600
1151, 31721278, 20069876, 13400
1214, 720984864, 139775747, 15900
1267, 115931332, 535829315, 14200
1299, 260138788, 151779728, 10800
1350, 543174860, 302557979, 11400
1402, 4088208, 218922119, 13800
1446, 191800545, 305276060, 12800
1488, 459175662, 347657496, 9600
1551, 47764801, 140895470, 9600
1578, 310273137, 175244894, 8000
1645, 318156232, 33716084, 7600
1713, 208778744, 245975168, 6200
1770, 329273946, 48849940, 13300
1774, 132943908, 161988245, 7300
1793, 7261060, 172384039, 13100
1817, 815942290, 61236830, 11500
1882, 377878516, 51844122, 15300
1924, 195063770, 152332797, 15300
1963, 95088480, 76515096, 9100
2062, 502449658, 278553220, 10100
2139, 787005948, 395933700, 11400
2223, 15584468, 111734208, 11100
2293, 36035002, 958792319, 12700
2297, 587486316, 111258795, 15700
2351, 472719260, 646724140, 13200
2384, 815942290, 52211740, 10600
2444, 71311658, 161988245, 6200
2471, 208778744, 437742092, 7400
2540, 237105272, 83792520, 8200
2612, 2278244, 52211740, 10800
2623, 101059076, 642569402, 14800
2686, 13960128, 218922119, 10400
2772, 36035002, 954457648, 15900
2808, 98094270, 958792319, 11900
2899, 72823590, 302557979, 7400
2973, 10635204, 105737366, 7700
3056, 7261060, 642569402, 10000
3153, 143012516, 693219146, 10600
3233, 243055564, 140895470, 9400
3293, 44163920, 103012006, 6800
3342, 44163920, 197440516, 9600
3345, 28739406, 535829315, 15900
3399, 200315930, 88899851, 14700
3441, 37607240, 731114324, 9400
3482, 499376044, 395933700, 10200
3483, 383703272, 139220258, 6300
3502, 553936140, 48849940, 10000
3540, 36337868, 190846676, 14300
3568, 28586564, 88899851, 11200
3639, 200315930, 151779728, 14800
3645, 7261060, 103012006, 13300
3694, 10635204, 406224502, 13200
