account, age, zipcode, balance
0, 650237300, 15221222, 154
67, 745108436, 108271631, 77
149, 356942270, 634839456, 79
228, 250763065, 30862964, 79
270, 218114372, 32550659, 74
276, 844633900, 510262118, 100
341, 64238852, 127266575, 76
353, 147831263, 641005649, 101
450, 605231724, 625547639, 83
480, 605231724, 589591130, 152
564, 127887265, 15221222, 61
648, 480229860, 252112732, 127
733, 647281445, 734500288, 118
783, 72484574, 310348180, 90
876, 145522550, 269749325, 81
880, 24106713, 278809122, 158
974, 277953397, 3953502, 123
1044, 30324370, 256867686, 129
1104, 30324370, 692426260, 66
1172, 284673640, 15830594, 87
1231, 483647459, 333986321, 67
1246, 223799580, 479299052, 116
1248, 744070364, 479299052, 113
1310, 157147034, 479299052, 156
1334, 529093638, 144799098, 92
1428, 73831115, 174212297, 82
1437, 527346840, 174212297, 91
1488, 49722340, 269749325, 153
1561, 105115365, 93043068, 119
1589, 72484574, 122792690, 150
1630, 849584099, 26373766, 93
1645, 198727588, 540325882, 139
1737, 32763170, 234773900, 96
1787, 125239666, 324811784, 81
1878, 238351639, 129536300, 112
1945, 110288396, 148369241, 116
1975, 846070218, 625547639, 148
2073, 423280790, 20289812, 158
2122, 139788852, 174212297, 157
2155, 604313968, 41790064, 147
2254, 10036911, 228510284, 153
2325, 184051649, 20289812, 128
2420, 525994580, 32873342, 126
2482, 270411568, 266038454, 99
2580, 96912332, 122792690, 152
2587, 941581020, 260325930, 113
2617, 289990470, 32550659, 158
2620, 218114372, 734500288, 120
2630, 131255396, 36932348, 97
2726, 480229860, 333986321, 94
2730, 131255396, 820897850, 107
2753, 193695760, 462427104, 92
2823, 4941332, 534231608, 102
2844, 147831263, 146247338, 83
2889, 145522550, 634839456, 94
2907, 505013084, 171650538, 99
2992, 72484574, 32873342, 79
3037, 535379960, 148369241, 78
3063, 357319875, 310348180, 80
3118, 54461644, 567513934, 150
3155, 535379960, 159458537, 125
3203, 194525761, 129514340, 100
3292, 410444404, 169347428, 83
3344, 63562070, 102327604, 118
3418, 270411568, 25463370, 98
3433, 49722340, 236487800, 114
3471, 266350412, 30862964, 154
3504, 304435844, 466110470, 93
3583, 224133244, 1242377, 95
3590, 127887265, 32873342, 133
3636, 357319875, 36932348, 123
3728, 954593730, 30862964, 150
3787, 745108436, 333986321, 136
3868, 131255396, 364622318, 69
3907, 74369920, 30862964, 116
3924, 744070364, 852731648, 141
3968, 157147034, 341449520, 135
4030, 284673640, 215796887, 112
4095, 225597222, 641005649, 128
4193, 527346840, 76703088, 64
4276, 224133244, 339836528, 88
4339, 483647459, 862451858, 107
4396, 605231724, 171650538, 105
4472, 96912332, 310348180, 114
4545, 529093638, 32550659, 149
4566, 423280790, 36932348, 135
4623, 954593730, 122792690, 93
4702, 80201906, 159458537, 126
4753, 745108436, 571773764, 70
4778, 17402603, 2674644, 124
4827, 410444404, 567513934, 111
4847, 744070364, 59877760, 128
4912, 650237300, 148369241, 157
4921, 221572100, 852731648, 64
5011, 73831115, 28881236, 65
5033, 356942270, 852731648, 106
5127, 32763170, 389508356, 74
5139, 49722340, 41790064, 84
5141, 525994580, 95362415, 133
5221, 90933602, 80272620, 99
5238, 63562070, 148369241, 95
5259, 22759883, 260325930, 97
5292, 147831263, 234773900, 138
5383, 156153368, 310348180, 67
5423, 954593730, 397745396, 112
5502, 604313968, 339836528, 147
5562, 163309634, 404575550, 127
5615, 275189560, 3953502, 143
5703, 193695760, 466110470, 83
5736, 605231724, 15221222, 93
5781, 121973199, 344041592, 87
5808, 63562070, 250524635, 108
5849, 220736396, 146247338, 144
5872, 423280790, 250524635, 110
5904, 193695760, 16169308, 125
5929, 16979206, 344041592, 76
5991, 347886728, 479299052, 121
6028, 480229860, 144799098, 111
6042, 220736396, 20289812, 140
6127, 221572100, 571773764, 95
6145, 505013084, 129536300, 79
6199, 277953397, 77888016, 95
6287, 294280730, 571773764, 111
6374, 347886728, 366475458, 142
6461, 95047244, 266038454, 125
6491, 941581020, 41790064, 113
6515, 64238852, 404575550, 69
6576, 24106713, 26373766, 123
6590, 268560992, 32550659, 139
6688, 604313968, 169347428, 95
6747, 48585240, 820897850, 117
6822, 80201906, 148369241, 90
6862, 49722340, 339836528, 96
6921, 527033450, 36932348, 122
7009, 704825838, 122792690, 66
7044, 480229860, 59877760, 120
7045, 529093638, 122792690, 97
7064, 289990470, 245231620, 103
7134, 351746030, 692426260, 91
7208, 410444404, 213060743, 94
7264, 304435844, 269749325, 144
7309, 234282482, 32873342, 94
7354, 17402603, 16169308, 135
7446, 131255396, 41790064, 146
7526, 941581020, 734500288, 146
7621, 357319875, 310348180, 73
7696, 151149584, 15221222, 129
7707, 125239666, 32550659, 68
7806, 452346554, 59877760, 103
7861, 43611820, 339836528, 85
7957, 90933602, 339836528, 64
7992, 745108436, 228510284, 129
8074, 604313968, 122792690, 152
8126, 527033450, 322359320, 127
8215, 54461644, 148369241, 111
8237, 49722340, 129536300, 118
8303, 147831263, 333986321, 115
8372, 670184640, 129514340, 151
8375, 96912332, 269749325, 126
8448, 157147034, 269749325, 93
8544, 224133244, 174212297, 105
8634, 23847260, 15830594, 87
8722, 670184640, 466110470, 133
8782, 63562070, 142122385, 154
8790, 194525761, 16169308, 110
8833, 24106713, 246098548, 112
8858, 941581020, 245231620, 71
8919, 525994580, 32550659, 130
8991, 24106713, 36932348, 71
9046, 221572100, 3953502, 139
9059, 270411568, 16169308, 104
9143, 49722340, 159458537, 150
9220, 174963215, 32550659, 130
9234, 72484574, 144799098, 88
9281, 163309634, 479299052, 100
9348, 74369920, 80272620, 96
9376, 480229860, 404575550, 72
9413, 73831115, 93043068, 70
9476, 232990354, 344041592, 82
9478, 163309634, 625547639, 144
9560, 22759883, 510262118, 137
9621, 360317412, 372825668, 96
9636, 184051649, 739322168, 66
9639, 268560992, 641005649, 148
9674, 218114372, 129536300, 139
9681, 145522550, 462427104, 127
9743, 222428020, 228510284, 145
9774, 49722340, 567513934, 143
9836, 479488798, 80272620, 70
9845, 184051649, 1242377, 86
9917, 157147034, 3953502, 99
9943, 224133244, 198678090, 104
10009, 816089020, 129536300, 119
10019, 221572100, 146247338, 64
10090, 139788852, 692426260, 147
10091, 670184640, 551890307, 83
10176, 480229860, 102327604, 153
10236, 670184640, 372825668, 143
10290, 351746030, 589591130, 117
10361, 604313968, 333986321, 121
10445, 483647459, 228510284, 82
10486, 289990470, 82430487, 64
10491, 483647459, 146247338, 130
10510, 105115365, 310348180, 100
10590, 268560992, 324811784, 157
10686, 505013084, 310348180, 148
10779, 15947231, 266038454, 115
10797, 225597222, 372825668, 116
10810, 289990470, 344041592, 71
10910, 483647459, 228510284, 71
10918, 360317412, 82430487, 148
10920, 156784148, 130150420, 130
10989, 54461644, 127266575, 140
11066, 139788852, 256867686, 147
11148, 904596220, 466110470, 140
11240, 64238852, 540325882, 107
11318, 273814634, 862451858, 118
11390, 184051649, 30076452, 69
11447, 43611820, 219608682, 139
11531, 234282482, 571773764, 73
11570, 745108436, 397745396, 105
11575, 941581020, 333986321, 122
11584, 273814634, 25463370, 154
11644, 4941332, 30076452, 80
11733, 156153368, 250524635, 99
11812, 193695760, 245231620, 134
11863, 650237300, 108271631, 90
11867, 224133244, 277981125, 97
11966, 846070218, 15830594, 136
11996, 505013084, 95362415, 151
12084, 846070218, 245231620, 68
12122, 941581020, 462427104, 81
12151, 744070364, 277981125, 142
12214, 225597222, 108271631, 114
12268, 266350412, 852731648, 101
12351, 529093638, 206967228, 98
12446, 198727588, 16169308, 105
12458, 360317412, 129536300, 112
12523, 535379960, 36932348, 142
12542, 121973199, 108271631, 128
12641, 275189560, 169347428, 91
12713, 289990470, 260325930, 86
12804, 15947231, 144799098, 92
12887, 4941332, 734500288, 144
12945, 63562070, 366475458, 61
13034, 410444404, 174212297, 80
13045, 157147034, 169347428, 84
13083, 452346554, 156053170, 132
13116, 647281445, 25463370, 139
13181, 525994580, 852731648, 156
13261, 131255396, 219608682, 95
13279, 221572100, 540325882, 64
13335, 351746030, 852731648, 102
13346, 304435844, 256867686, 99
13373, 284673640, 465754766, 154
13416, 30324370, 862451858, 109
13510, 347886728, 171650538, 156
13560, 151149584, 510262118, 69
13632, 223799580, 122792690, 158
13704, 110288396, 341449520, 152
13750, 273814634, 80272620, 145
13823, 294280730, 466110470, 77
13863, 105115365, 678517610, 156
13893, 304435844, 32966564, 135
13963, 110288396, 102327604, 135
14038, 15947231, 269749325, 98
14078, 357319875, 852731648, 81
14089, 250763065, 404575550, 69
14136, 356942270, 462427104, 155
14184, 105115365, 32550659, 86
