account, age, zipcode, balance
0, 90, 162, 15400
9, 39, 819, 9100
11, 23, 522, 13100
21, 72, 377, 13900
27, 76, 711, 13500
28, 100, 976, 15900
31, 58, 245, 6300
37, 53, 699, 9000
46, 89, 820, 15100
54, 62, 727, 15500
63, 34, 207, 9900
65, 49, 446, 14900
71, 36, 406, 14400
73, 55, 261, 10500
82, 48, 609, 11500
91, 61, 558, 12300
92, 44, 575, 12500
97, 33, 642, 11800
105, 52, 520, 11800
106, 73, 124, 6700
112, 100, 779, 11800
115, 44, 485, 6600
121, 95, 357, 7500
128, 38, 622, 12100
132, 43, 852, 10100
135, 88, 637, 13500
138, 82, 562, 7300
148, 38, 704, 12600
150, 83, 295, 15800
153, 24, 487, 10100
157, 63, 846, 8700
164, 42, 235, 13500
168, 44, 388, 9100
178, 76, 650, 7400
181, 38, 875, 13500
186, 98, 480, 12900
187, 25, 700, 6000
194, 69, 941, 14700
198, 56, 578, 8600
199, 48, 941, 12600
201, 74, 137, 6600
203, 84, 123, 14000
209, 23, 992, 10500
213, 37, 278, 15700
214, 63, 156, 13500
219, 58, 219, 8000
221, 83, 810, 10000
226, 33, 348, 8900
234, 58, 905, 15500
242, 88, 858, 11300
246, 77, 457, 7000
253, 69, 789, 9400
257, 76, 841, 15900
258, 80, 323, 15100
260, 55, 642, 7900
268, 67, 596, 13300
276, 85, 274, 14100
281, 81, 725, 8100
285, 97, 831, 7500
288, 44, 404, 13500
289, 88, 449, 12900
296, 45, 222, 11600
299, 76, 127, 9600
307, 49, 461, 10600
312, 100, 382, 6900
315, 54, 527, 13800
323, 58, 820, 12300
332, 49, 413, 14500
337, 76, 855, 10100
345, 59, 920, 7600
347, 43, 431, 11700
354, 32, 880, 12700
360, 95, 512, 13800
370, 47, 363, 15500
372, 96, 453, 7500
381, 61, 703, 13500
391, 47, 550, 11800
397, 82, 549, 13500
404, 27, 404, 9800
408, 26, 323, 15600
413, 60, 327, 7300
414, 85, 203, 7000
