account, age, zipcode, balance
0, 276185259, 91621865, 98
52, 309243259, 268018309, 92
134, 604412308, 141835028, 103
193, 54144201, 724812414, 82
245, 2655335, 12668552, 157
314, 252889904, 80174987, 103
414, 316325576, 700642495, 157
449, 570196388, 127223732, 136
511, 56708910, 305218980, 61
542, 33763274, 81634744, 122
543, 33763274, 144368720, 148
578, 77098808, 826222740, 71
675, 100528568, 157577531, 138
770, 624997845, 206895140, 143
779, 252889904, 58138607, 108
802, 254430200, 642768608, 116
832, 184967570, 122258084, 140
838, 75104588, 14270787, 122
908, 293248859, 93465424, 87
1005, 3084662, 587743580, 107
1103, 184967570, 157577531, 145
1153, 316325576, 246236910, 100
1245, 153789040, 52536269, 130
1310, 48659800, 305218980, 118
1348, 572234879, 133903196, 115
1375, 519126546, 724812414, 102
1440, 124978726, 157577531, 116
1466, 154449728, 136113580, 118
1541, 921671, 127223732, 121
1607, 252889904, 30031571, 70
1640, 650741844, 81634744, 157
1683, 165334760, 122258084, 71
1777, 41696878, 826222740, 118
1850, 259458548, 12668552, 116
1928, 285473975, 297363729, 151
1958, 31539736, 938562916, 100
2018, 24728596, 241131988, 157
2089, 153789040, 531852815, 156
2121, 459628677, 531852815, 85
2217, 62802958, 178983188, 107
2239, 22827030, 627543188, 64
2262, 200991360, 9292940, 146
2347, 31614266, 850218662, 128
2401, 604412308, 759804710, 84
2402, 805163230, 494565711, 128
2432, 166574090, 504941321, 64
2502, 125582838, 305218980, 60
2602, 275317440, 305218980, 94
2632, 309243259, 320173345, 62
2655, 737882812, 80174987, 84
2662, 267288844, 154765020, 102
2762, 587635425, 531852815, 75
2860, 737882812, 14270787, 135
2929, 75104588, 819405812, 100
2974, 587635425, 141835028, 80
3001, 737882812, 57631997, 136
3039, 22827030, 152143184, 68
3091, 26240960, 136113580, 124
3173, 293248859, 12668552, 83
3250, 70410855, 360635659, 113
3281, 309243259, 320173345, 62
3331, 15552920, 58092100, 109
3369, 22680468, 504937145, 62
3386, 2655335, 504937145, 140
3472, 102447063, 11682561, 94
3522, 477792126, 58092100, 124
3589, 41696878, 58138607, 97
3647, 259458548, 178983188, 138
3707, 285473975, 627543188, 113
3770, 129272020, 330792135, 139
3780, 153789040, 83428498, 82
3822, 254335348, 107527940, 84
3916, 33459026, 114940220, 136
3977, 805163230, 178983188, 122
4008, 326534615, 141835028, 129
4054, 309243259, 81105212, 98
4088, 3084662, 589494904, 112
4122, 101958290, 83428498, 106
4194, 34004392, 938562916, 60
4232, 1007587444, 154765020, 82
4331, 331311078, 587743580, 146
4425, 570196388, 92606798, 116
4518, 48334844, 850218662, 110
4562, 154449728, 505428856, 140
4637, 805163230, 133903196, 102
4659, 70410855, 618704573, 97
4710, 31539736, 46686950, 112
4751, 2320308, 91621865, 83
4834, 572234879, 222215060, 127
4885, 150423257, 57631997, 79
4905, 744155664, 700642495, 98
4927, 48334844, 206895140, 150
5023, 153789040, 308093764, 148
5069, 443522135, 185914844, 69
5094, 200991360, 938562916, 65
5181, 252889904, 724812414, 143
5197, 287906705, 127223732, 136
5238, 259458548, 357378605, 86
5268, 48659800, 193098736, 131
5315, 78823804, 80174987, 150
5369, 440234826, 826222740, 67
5465, 213493610, 121489211, 82
5514, 2655335, 28185595, 105
5591, 41442020, 179124420, 149
5603, 6827519, 826222740, 117
5671, 70410855, 532968080, 115
5725, 101958290, 93465424, 106
5812, 165334760, 39817314, 97
5835, 3084662, 759804710, 60
5930, 150423257, 548546798, 100
5960, 48334844, 482909072, 70
6001, 102447063, 91621865, 94
6038, 77098808, 532968080, 66
6075, 134223185, 79070390, 148
6151, 33763274, 81105212, 135
6188, 231444270, 114940220, 119
6281, 231444270, 250946090, 86
6308, 48334844, 330792135, 155
6366, 275317440, 531852815, 149
6447, 54144201, 154765020, 111
6452, 54144201, 185914844, 98
6466, 124978726, 386450045, 102
6489, 1007587444, 58092100, 86
6556, 20174592, 759804710, 147
6591, 41442020, 531852815, 88
6635, 15552920, 303327686, 83
6675, 169943092, 39698696, 153
6734, 604412308, 52536269, 62
6812, 388306453, 133903196, 151
6881, 53704077, 589494904, 97
6926, 81717222, 237899664, 79
6930, 70410855, 237899664, 83
6934, 56708910, 14270787, 125
6964, 183613119, 289320790, 155
7024, 267288844, 280553620, 80
7097, 143109059, 250946090, 151
7100, 64417375, 250946090, 147
7200, 572234879, 11682561, 93
7201, 100528568, 504941321, 153
7246, 64417375, 47225926, 129
7248, 921671, 237899664, 150
7249, 15552920, 155905970, 148
7339, 33459026, 144368720, 144
7356, 660684008, 206895140, 116
7364, 293248859, 43809993, 95
7441, 101958290, 482909072, 82
7477, 2655335, 50595248, 70
7529, 22680468, 9292940, 126
7545, 124978726, 46686950, 63
7586, 921671, 14270787, 74
7600, 2320308, 505428856, 82
7653, 22680468, 532968080, 67
7685, 539556716, 139317460, 123
7780, 267288844, 222215060, 159
7856, 724915668, 58092100, 140
7906, 70410855, 852151136, 118
7984, 213493610, 14270787, 88
8082, 166574090, 114940220, 81
8115, 2320308, 136113580, 86
8155, 276185259, 12668552, 82
8160, 660684008, 459671520, 115
8213, 921671, 206895140, 93
8275, 359097780, 459671520, 63
8342, 129272020, 548546798, 84
8350, 737882812, 30031571, 64
8367, 124978726, 92606798, 121
8396, 34404080, 107527940, 96
8434, 26240960, 122258084, 107
8500, 331311078, 92606798, 102
8545, 102447063, 81634744, 120
8631, 20174592, 152143184, 93
8727, 259458548, 606211155, 110
8761, 627743720, 280973240, 89
8837, 15552920, 152143184, 81
8904, 254430200, 246236910, 108
